workout_id,workout_date,workout_type,distance,entry_date,entry_time
455,06/02/2017,Yoga,1,05/12/2017,23:00:00
456,08/02/2017,Yoga,1,05/12/2017,23:00:00
457,09/02/2017,Yoga,1,05/12/2017,23:00:00
458,10/02/2017,Run,14,05/12/2017,23:00:00
459,11/02/2017,Swim,0.5,05/12/2017,23:00:00
460,12/02/2017,Yoga,1,05/12/2017,23:00:00
461,19/02/2017,Run,10,05/12/2017,23:00:00
462,23/02/2017,Gym,1,05/12/2017,23:00:00
463,24/02/2017,Run,5,05/12/2017,23:00:00
464,26/02/2017,Spin,1,05/12/2017,23:00:00
465,26/02/2017,Yoga,1,05/12/2017,23:00:00
466,27/02/2017,Spin,1,05/12/2017,23:00:00
467,01/03/2017,Spin,1,05/12/2017,23:00:00
468,04/03/2017,Gym,1,05/12/2017,23:00:00
469,10/03/2017,Gym,1,05/12/2017,23:00:00
470,12/03/2017,Gym,1,05/12/2017,23:00:00
471,14/03/2017,Run,5,05/12/2017,23:00:00
472,16/03/2017,Spin,1,05/12/2017,23:00:00
473,18/03/2017,Run,11,05/12/2017,23:00:00
474,18/03/2017,Swim,2,05/12/2017,23:00:00
475,19/03/2017,Cycle,90,05/12/2017,23:00:00
476,19/03/2017,Run,10,05/12/2017,23:00:00
477,20/03/2017,Cycle,40,05/12/2017,23:00:00
478,20/03/2017,Run,10,05/12/2017,23:00:00
479,21/03/2017,Cycle,30,05/12/2017,23:00:00
480,22/03/2017,Run,10,05/12/2017,23:00:00
481,22/03/2017,Swim,1.5,05/12/2017,23:00:00
482,23/03/2017,Run,12,05/12/2017,23:00:00
483,24/03/2017,Swim,1.5,05/12/2017,23:00:00
484,25/03/2017,Run,10,05/12/2017,23:00:00
485,26/03/2017,Run,10,05/12/2017,23:00:00
486,28/03/2017,Gym,1,05/12/2017,23:00:00
487,31/03/2017,Gym,1,05/12/2017,23:00:00
488,01/04/2017,Run,10,05/12/2017,23:00:00
489,04/04/2017,Gym,1,05/12/2017,23:00:00
490,06/04/2017,Gym,1,05/12/2017,23:00:00
491,08/04/2017,Run,20,05/12/2017,23:00:00
492,09/04/2017,Run,10,05/12/2017,23:00:00
493,10/04/2017,Run,10,05/12/2017,23:00:00
494,11/04/2017,Gym,1,05/12/2017,23:00:00
